"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","pkey"
"1",411804.38282405,4262973.18406006,2022-03-07 10:03:51,-134.459476775839,-314.258735330775,341.815598863672,14400,0,-1.97508889879756,NA,"F46538","F46538.1","F46538.2022-03-07 10:03:51"
"2",411669.923347274,4262658.92532473,2022-03-07 14:03:51,-240.434470872453,-511.994960018434,565.639084459334,14400,116837.903626531,-2.00983215711681,-0.0347432583192491,"F46538","F46538.1","F46538.2022-03-07 14:03:51"
"3",411429.488876402,4262146.93036471,2022-03-07 18:03:51,-124.027697917714,-279.700959823094,305.966496167028,14400,823240.641061544,-1.98817292923879,0.021659227878019,"F46538","F46538.1","F46538.2022-03-07 18:03:51"
"4",411305.461178484,4261867.22940489,2022-03-07 22:03:51,10.5847928355215,21.1683755256236,23.6672339271983,14400,1472058.50771158,1.10712585101186,3.09529878025066,"F46538","F46538.1","F46538.2022-03-07 22:03:51"
"5",411316.045971319,4261888.39778042,2022-03-08 02:03:51,66.1609177425271,26.2597464602441,71.1817485082359,14400,1415234.1542444,0.377837354206074,-0.729288496805788,"F46538","F46538.1","F46538.2022-03-08 02:03:51"
"6",411382.206889062,4261914.65752688,2022-03-08 06:03:51,81.0099457348697,274.0716170948,285.793391464752,14400,1298710.94154265,1.28339997423119,0.905562620025113,"F46538","F46538.1","F46538.2022-03-08 06:03:51"
"7",411463.216834797,4262188.72914397,2022-03-08 10:03:51,82.2079187016934,277.859121006913,289.765134244958,14400,731763.747603373,1.2831402938383,-0.000259680392883821,"F46538","F46538.1","F46538.2022-03-08 10:03:51"
"8",411545.424753498,4262466.58826498,2022-03-08 14:03:51,-156.570942463237,-64.0614778297022,169.169539118458,14400,323698.581901223,-2.75322070885318,2.24682430448811,"F46538","F46538.1","F46538.2022-03-08 14:03:51"
"9",411388.853811035,4262402.52678715,2022-03-08 18:03:51,-204.359963398136,-361.882896507159,415.598635012795,14400,498314.083787042,-2.08486526266544,0.668355446187742,"F46538","F46538.1","F46538.2022-03-08 18:03:51"
"10",411184.493847637,4262040.64389064,2022-03-08 22:03:51,-8.7640470979386,-29.8784734513611,31.1373039507048,14400,1253893.5106629,-1.85611634415999,0.228748918505448,"F46538","F46538.1","F46538.2022-03-08 22:03:51"
"11",411175.729800539,4262010.76541719,2022-03-09 02:03:51,76.5012462966261,382.940327436663,390.507023063908,14400,1321454.26811855,1.37361877383435,-3.05345018918525,"F46538","F46538.1","F46538.2022-03-09 02:03:51"
"12",411252.231046836,4262393.70574463,2022-03-09 06:03:51,293.939066597959,286.49367711693,410.461693584748,14400,640666.703141537,0.772571559027535,-0.601047214806813,"F46538","F46538.1","F46538.2022-03-09 06:03:51"
"13",411546.170113434,4262680.19942174,2022-03-09 10:03:51,-57.9944320549839,2.56139730475843,58.0509681705049,14400,152513.802214845,3.09745507537879,2.32488351635126,"F46538","F46538.1","F46538.2022-03-09 10:03:51"
"14",411488.175681379,4262682.76081905,2022-03-09 14:03:51,8.23963110469049,-24.2038114946336,25.5678706897766,14400,184332.615997644,-1.24267510990405,1.94305512189675,"F46538","F46538.1","F46538.2022-03-09 14:03:51"
"15",411496.415312483,4262658.55700755,2022-03-09 18:03:51,-238.212963959493,-137.24996287562,274.923568483544,14400,193834.170351053,-2.61888331607997,-1.37620820617593,"F46538","F46538.1","F46538.2022-03-09 18:03:51"
"16",411258.202348524,4262521.30704468,2022-03-09 22:03:51,-50.3068790475372,-487.087666701525,489.678646800368,14400,502505.948878822,-1.67371238256765,0.945170933512321,"F46538","F46538.1","F46538.2022-03-09 22:03:51"
"17",411207.895469476,4262034.21937798,2022-03-10 02:03:51,215.070569535892,133.496484179981,253.133682406962,14400,1237451.83837159,0.555508525754131,2.22922090832178,"F46538","F46538.1","F46538.2022-03-10 02:03:51"
"18",411422.966039012,4262167.71586216,2022-03-10 06:03:51,246.59910138516,175.601530116983,302.732578662083,14400,794257.78174695,0.618796144662947,0.063287618908816,"F46538","F46538.1","F46538.2022-03-10 06:03:51"
"19",411669.565140397,4262343.31739227,2022-03-10 10:03:51,130.220865919604,416.209674470127,436.105454039938,14400,414907.827017528,1.26757146851969,0.648775323856743,"F46538","F46538.1","F46538.2022-03-10 10:03:51"
"20",411799.786006317,4262759.52706674,2022-03-10 14:03:51,-366.356722315424,-367.938153794035,519.226090449107,14400,45670.4415275035,-2.35404081993668,2.66157301872321,"F46538","F46538.1","F46538.2022-03-10 14:03:51"
"21",411433.429284002,4262391.58891295,2022-03-10 18:03:51,-248.615233514458,-420.605328001082,488.588145863514,14400,475859.44402006,-2.10463794504458,0.2494028748921,"F46538","F46538.1","F46538.2022-03-10 18:03:51"
"22",411184.814050487,4261970.98358495,2022-03-10 22:03:51,-65.5888707732083,35.2867069561034,74.4785315182203,14400,1388271.25749348,2.64801039944332,-1.53053696269168,"F46538","F46538.1","F46538.2022-03-10 22:03:51"
"23",411119.225179714,4262006.2702919,2022-03-11 02:03:51,58.5063401274383,-14.623457994312,60.3061966867328,14400,1404363.23264596,-0.244928358644201,-2.89293875808752,"F46538","F46538.1","F46538.2022-03-11 02:03:51"
"24",411177.731519841,4261991.64683391,2022-03-11 06:03:51,267.157218485663,462.426228503697,534.051492084002,14400,1356107.18338949,1.04691326444631,1.29184162309051,"F46538","F46538.1","F46538.2022-03-11 06:03:51"
"25",411444.888738327,4262454.07306241,2022-03-11 10:03:51,-3.38542005204363,155.761620942503,155.798407012282,14400,398712.225549702,1.59252752796479,0.545614263518478,"F46538","F46538.1","F46538.2022-03-11 10:03:51"
