"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","pkey"
"1",411804.38282405,4262973.18406006,2022-03-07 10:03:51,13.2574512663996,0.298168230801821,13.2608038359226,5553,0,0.0224868239106626,NA,"F46538","F46538.1","F46538.2022-03-07 10:03:51"
"2",411817.640275316,4262973.48222829,2022-03-07 11:36:24,-530.091220920731,-1128.80666601844,1247.07705926494,31748,175.848918374819,-2.0098321571168,-2.03231898102746,"F46538","F46538.1","F46538.2022-03-07 11:36:24"
"3",411287.549054396,4261844.67556228,2022-03-07 20:25:32,21.6682348693721,27.2833057986572,34.8409411132552,7136,1540648.57503402,0.89960573378897,2.90943789090577,"F46538","F46538.1","F46538.2022-03-07 20:25:32"
"4",411309.217289265,4261871.95886807,2022-03-07 22:24:28,7.52592042577453,18.1173973521218,19.6183476641067,14507,1457885.83031005,1.17708716799088,0.277481434201912,"F46538","F46538.1","F46538.2022-03-07 22:24:28"
"5",411316.743209691,4261890.07626543,2022-03-08 02:26:15,66.7773313385551,21.3471296029165,70.1064328216954,7130,1410914.8882955,0.309409276686106,-0.867677891304776,"F46538","F46538.1","F46538.2022-03-08 02:26:15"
"6",411383.520541029,4261911.42339503,2022-03-08 04:25:05,-1.35843051905977,3.34437393862754,3.60973274862338,6128,1304460.77108266,1.95662217379097,1.64721289710486,"F46538","F46538.1","F46538.2022-03-08 04:25:05"
"7",411382.16211051,4261914.76776897,2022-03-08 06:07:13,205.987925180176,696.230055845343,726.06288707139,36082,1298515.37619793,1.28314029383834,-0.673481879952629,"F46538","F46538.1","F46538.2022-03-08 06:07:13"
"8",411588.15003569,4262610.99782481,2022-03-08 16:08:35,-206.615663790784,-216.127434941009,299.000168324177,7170,177935.48776628,-2.33369816432114,2.6663468490201,"F46538","F46538.1","F46538.2022-03-08 16:08:35"
"9",411381.5343719,4262394.87038987,2022-03-08 18:08:05,-94.5118016491178,-179.740642010234,203.074319009601,1020,513247.514615667,-2.05488844957054,0.278809714750604,"F46538","F46538.1","F46538.2022-03-08 18:08:05"
"10",411287.02257025,4262215.12974786,2022-03-08 18:25:05,-98.9445925189648,-162.266806514934,190.054068320831,7237,842307.972458256,-2.11836493210552,-0.0634764825349832,"F46538","F46538.1","F46538.2022-03-08 18:25:05"
"11",411188.077977731,4262052.86294135,2022-03-08 20:25:42,-13.1412017318071,-44.8011110257357,46.6886574244361,21592,1226822.62515047,-1.85611634415535,0.262248587950174,"F46538","F46538.1","F46538.2022-03-08 20:25:42"
"12",411174.936776,4262008.06183032,2022-03-09 02:25:34,-5.45423840620788,-12.1473321793601,13.3156447710004,7255,1327663.24574795,-1.99282425053323,-0.136707906377884,"F46538","F46538.1","F46538.2022-03-09 02:25:34"
"13",411169.482537593,4261995.91449814,2022-03-09 04:26:29,85.751365106611,412.226670013741,421.051213141899,6054,1358154.17040016,1.3657013181777,-2.92465973846865,"F46538","F46538.1","F46538.2022-03-09 04:26:29"
"14",411255.2339027,4262408.14116816,2022-03-09 06:07:23,319.015181586961,270.81811039336,418.465213608004,7216,620838.007514829,0.70386626513257,-0.661835053045132,"F46538","F46538.1","F46538.2022-03-09 06:07:23"
"15",411574.249084287,4262678.95927855,2022-03-09 08:07:39,-87.0721959047951,3.84565345291048,87.1570786004378,21620,139529.760234269,3.09745507538435,2.39358881025178,"F46538","F46538.1","F46538.2022-03-09 08:07:39"
"16",411487.176888382,4262682.804932,2022-03-09 14:07:59,47.1362407591077,-66.885448009707,81.8259637789852,7214,184939.643636372,-0.956902325692857,2.22882790610238,"F46538","F46538.1","F46538.2022-03-09 14:07:59"
"17",411534.313129141,4262615.91948399,2022-03-09 16:08:13,-39.4491253824672,44.382847385481,59.3807261279661,7222,200575.617423126,2.29740978702068,-3.02887319446605,"F46538","F46538.1","F46538.2022-03-09 16:08:13"
"18",411494.864003759,4262660.30233138,2022-03-09 18:08:35,-131.070841483888,-63.6977577600628,145.729097406641,1008,193696.876259521,-2.68922412762052,1.29655139253838,"F46538","F46538.1","F46538.2022-03-09 18:08:35"
"19",411363.793162275,4262596.60457362,2022-03-09 18:25:23,-67.8668084817473,-57.2920521153137,88.8160060410396,7248,335931.359674465,-2.44048496953506,0.248739158085466,"F46538","F46538.1","F46538.2022-03-09 18:25:23"
"20",411295.926353793,4262539.3125215,2022-03-09 20:26:11,-46.8138167778961,-22.3439978612587,51.8728029099871,7272,446772.494118962,-2.69627351836855,-0.255788548833494,"F46538","F46538.1","F46538.2022-03-09 20:26:11"
"21",411249.112537015,4262516.96852364,2022-03-09 22:27:23,-9.5095945734065,-378.77782044746,378.897175565982,7215,516457.707336287,-1.59589705026545,1.1003764681031,"F46538","F46538.1","F46538.2022-03-09 22:27:23"
"22",411239.602942442,4262138.19070319,2022-03-10 00:27:38,-39.3638418056653,-129.077167474665,134.946015891482,7167,1016190.22068534,-1.8668006681648,-0.270903617899348,"F46538","F46538.1","F46538.2022-03-10 00:27:38"
"23",411200.239100636,4262009.11353572,2022-03-10 02:27:05,470.079537015408,334.740416785702,577.08397807467,27450,1294421.61444937,0.618796144663288,2.48559681282808,"F46538","F46538.1","F46538.2022-03-10 02:27:05"
"24",411670.318637652,4262343.8539525,2022-03-10 10:04:35,130.351166528941,418.510671023279,438.340744599234,14454,414029.590354221,1.26885521970133,0.650059075038046,"F46538","F46538.1","F46538.2022-03-10 10:04:35"
"25",411800.669804181,4262762.36462353,2022-03-10 14:05:29,-163.995923114009,-29.0475136060268,166.548554015663,7200,44458.6213375851,-2.96628744054352,2.04804264693473,"F46538","F46538.1","F46538.2022-03-10 14:05:29"
"26",411636.673881067,4262733.31710992,2022-03-10 16:05:29,-450.761144518445,-757.89366805274,881.809742224487,15751,85662.4433266287,-2.10735037741913,0.858937063124391,"F46538","F46538.1","F46538.2022-03-10 16:05:29"
"27",411185.912736548,4261975.42344187,2022-03-10 20:28:00,-1.36939344205894,-5.53380184434354,5.70071936264311,7168,1378031.50035323,-1.81338277874228,0.293967598676849,"F46538","F46538.1","F46538.2022-03-10 20:28:00"
"28",411184.543343106,4261969.88964002,2022-03-10 22:27:28,-62.0153098646551,46.4100658204406,77.4583298752744,7268,1390800.6754167,2.49913898898239,-1.97066353945491,"F46538","F46538.1","F46538.2022-03-10 22:27:28"
"29",411122.528033241,4262016.29970585,2022-03-11 00:28:36,-4.15125054906821,-12.6056483518332,13.2715956648481,7183,1380553.62309539,-1.888927568062,1.89511875013519,"F46538","F46538.1","F46538.2022-03-11 00:28:36"
"30",411118.376782692,4262003.69405749,2022-03-11 02:28:19,26.7921853170265,17.4599504135549,31.9792286102352,7247,1410515.15386162,0.577555833470526,2.46648340153252,"F46538","F46538.1","F46538.2022-03-11 02:28:19"
"31",411145.168968009,4262021.15400791,2022-03-11 04:29:06,32.2842630627565,-29.9888679841533,44.0636567306464,5670,1340924.12820422,-0.748554723435844,-1.32611055690637,"F46538","F46538.1","F46538.2022-03-11 04:29:06"
"32",411177.453231072,4261991.16513992,2022-03-11 06:03:36,401.496483697789,694.95597298909,802.597801401737,21641,1357401.87406477,1.04691326444607,1.79546798788192,"F46538","F46538.1","F46538.2022-03-11 06:03:36"
"33",411578.94971477,4262686.12111291,2022-03-11 12:04:17,-579.711885300116,-321.755615484901,663.01775696755,30258,133225.222386764,-2.634898311547,2.60137373118651,"F46538","F46538.1","F46538.2022-03-11 12:04:17"
"34",410999.23782947,4262364.36549743,2022-03-11 20:28:35,10.5909898976097,-4.33468916267157,11.4437143073503,7254,1018918.5045076,-0.388481402825154,2.24641690872185,"F46538","F46538.1","F46538.2022-03-11 20:28:35"
"35",411009.828819367,4262360.03080826,2022-03-11 22:29:29,69.6354696506169,-82.4527927096933,107.923869737374,7237,1007272.97654831,-0.869475047857525,-0.480993645032371,"F46538","F46538.1","F46538.2022-03-11 22:29:29"
"36",411079.464289018,4262277.57801555,2022-03-12 00:30:06,3.2285851186607,-7.6933488342911,8.34334334391949,7134,1009374.65158942,-1.17345801246951,-0.303982964611982,"F46538","F46538.1","F46538.2022-03-12 00:30:06"
"37",411082.692874137,4262269.88466672,2022-03-12 02:29:00,-80.7372371603269,95.7824351061136,125.270812000002,7298,1015466.42048197,2.27116757244488,-2.8385597222652,"F46538","F46538.1","F46538.2022-03-12 02:29:00"
"38",411001.955636976,4262365.66710183,2022-03-12 04:30:38,-1.94516476197168,5.45956294238567,5.79573062461389,5427,1012966.24509978,1.9130599578378,-0.358107614607072,"F46538","F46538.1","F46538.2022-03-12 04:30:38"
"39",411000.010472214,4262371.12666477,2022-03-12 06:01:05,527.573281299672,235.544777889736,577.76717588699,28897,1009487.98762582,0.41991313358114,-1.49314682425667,"F46538","F46538.1","F46538.2022-03-12 06:01:05"
"40",411527.583753514,4262606.67144266,2022-03-12 14:02:42,51.9440627866425,5.30923812370747,52.2146882422646,14446,210949.224166207,0.101856964850759,-0.31805616873038,"F46538","F46538.1","F46538.2022-03-12 14:02:42"
"41",411579.527816301,4262611.98068078,2022-03-12 18:03:28,-16.7466250310536,-8.24982782825828,18.6683986760143,1577,181027.655713768,-2.68386139061431,-2.78571835546507,"F46538","F46538.1","F46538.2022-03-12 18:03:28"
"42",411562.78119127,4262603.73085295,2022-03-12 18:29:45,-285.56679377408,-76.8630563095212,295.730152557443,7186,194867.021205257,-2.87866424202581,-0.194802851411496,"F46538","F46538.1","F46538.2022-03-12 18:29:45"
"43",411277.214397496,4262526.86779664,2022-03-12 20:29:31,6.46714788035024,-14.498814531602,15.8757558726541,7217,477104.756947657,-1.15123485568131,1.7274293863445,"F46538","F46538.1","F46538.2022-03-12 20:29:31"
"44",411283.681545376,4262512.36898211,2022-03-12 22:29:48,-15.3410734427744,0.613569575361907,15.3533384643343,7186,483480.357678918,3.10161874091538,-2.0303317105829,"F46538","F46538.1","F46538.2022-03-12 22:29:48"
"45",411268.340471933,4262512.98255169,2022-03-13 00:29:34,1.92076288879616,-7.67880962975323,7.9153930669909,7219,499126.831573288,-1.32568768679511,1.8558788794691,"F46538","F46538.1","F46538.2022-03-13 00:29:34"
"46",411270.261234822,4262505.30374206,2022-03-13 03:29:53,30.9563929016585,-31.6384380878881,44.2638568825965,7213,504197.864055427,-0.796293922439946,0.529393764355169,"F46538","F46538.1","F46538.2022-03-13 03:29:53"
"47",411301.217627724,4262473.66530397,2022-03-13 05:30:06,301.631121246202,442.474175783806,535.504182560509,27029,502694.20248222,0.972463552824229,1.76875747526418,"F46538","F46538.1","F46538.2022-03-13 05:30:06"
"48",411602.84874897,4262916.13947975,2022-03-13 13:00:35,-9.91051553119905,10.652235917747,14.5495171102507,7231,43870.067560953,2.32013905521085,1.34767550238662,"F46538","F46538.1","F46538.2022-03-13 13:00:35"
"49",411592.938233439,4262926.79171567,2022-03-13 15:01:06,20.0584233091213,-229.28199427668,230.157713851045,7247,46861.0645168323,-1.48353485015547,2.47951140181327,"F46538","F46538.1","F46538.2022-03-13 15:01:06"
"50",411612.996656748,4262697.5097214,2022-03-13 17:01:53,-104.993514587055,-110.931510379538,152.739772490428,7152,112625.006034431,-2.3287011527552,-0.845166302599726,"F46538","F46538.1","F46538.2022-03-13 17:01:53"
"51",411508.003142161,4262586.57821102,2022-03-13 19:01:05,-23.7976257435512,8.69694098085165,25.3370040347028,1710,237304.998354209,2.79121710197534,-1.16326705244905,"F46538","F46538.1","F46538.2022-03-13 19:01:05"
"52",411484.205516417,4262595.275152,2022-03-13 19:29:35,-124.938052591169,17.9153256695718,126.215988999495,7263,245328.651118814,2.99916984360504,0.207952741629701,"F46538","F46538.1","F46538.2022-03-13 19:29:35"
"53",411359.267463826,4262613.19047767,2022-03-13 21:30:38,-76.6323354027118,49.0120473764837,90.9653539393345,14446,327723.063274078,2.57258175199317,-0.426588091611873,"F46538","F46538.1","F46538.2022-03-13 21:30:38"
"54",411282.635128423,4262662.20252504,2022-03-14 01:31:24,124.249418335559,-17.0211084187031,125.409872372657,19631,368930.173015213,-0.13614401811425,-2.70872577010741,"F46538","F46538.1","F46538.2022-03-14 01:31:24"
"55",411406.884546759,4262645.18141662,2022-03-14 06:58:35,159.652728437912,-1.31752102542669,159.658164712369,7211,265590.614552288,-0.00825223051781214,0.127891787596438,"F46538","F46538.1","F46538.2022-03-14 06:58:35"
"56",411566.537275197,4262643.8638956,2022-03-14 08:58:46,85.4232369264355,202.705523137003,219.969676358438,7228,165022.275832103,1.17196574862295,1.18021797914076,"F46538","F46538.1","F46538.2022-03-14 08:58:46"
"57",411651.960512123,4262846.56941874,2022-03-14 10:59:14,-12.8131803817232,47.9731353055686,49.6548014047077,7161,39263.8285715394,1.83179459917552,0.659828850552565,"F46538","F46538.1","F46538.2022-03-14 10:59:14"
"58",411639.147331741,4262894.54255404,2022-03-14 12:58:35,12.3555015359889,37.1529105072841,39.1535078552112,7254,33487.2543877799,1.2497436395429,-0.582050959632617,"F46538","F46538.1","F46538.2022-03-14 12:58:35"
"59",411651.502833277,4262931.69546455,2022-03-14 14:59:29,-17.2498681129073,1.41076924279332,17.3074613900799,7175,25093.5951363405,3.05998991888395,1.81024627934105,"F46538","F46538.1","F46538.2022-03-14 14:59:29"
"60",411634.252965165,4262933.10623379,2022-03-14 16:59:04,-51.1966182281612,-301.632114802487,305.946116821608,7291,30550.4010430051,-1.73892598755694,1.4842694007387,"F46538","F46538.1","F46538.2022-03-14 16:59:04"
"61",411583.056346936,4262631.47411899,2022-03-14 19:00:35,-146.334958147665,188.72500957083,238.811744295771,1798,165751.093300429,2.2303482599401,-2.31391105968255,"F46538","F46538.1","F46538.2022-03-14 19:00:35"
"62",411436.721388789,4262820.19912856,2022-03-14 19:30:33,25.9802150495234,244.422427971847,245.799297943815,7256,158579.320245385,1.46490166190967,-0.765446598030425,"F46538","F46538.1","F46538.2022-03-14 19:30:33"
"63",411462.701603838,4263064.62155653,2022-03-14 21:31:29,-16.7431639802526,-15.9071734165773,23.0948415490276,7297,125106.87200571,-2.38179324399368,2.43649040127624,"F46538","F46538.1","F46538.2022-03-14 21:31:29"
"64",411445.958439858,4263048.71438312,2022-03-14 23:33:06,-4.02041261381237,-0.843449904583395,4.10793443555801,7138,134172.868883634,-2.9347998011,-0.553006557106321,"F46538","F46538.1","F46538.2022-03-14 23:33:06"
"65",411441.938027244,4263047.87093321,2022-03-15 01:32:04,1.41071172681404,9.3066835179925,9.41299451185667,7228,136944.359752024,1.42036101893919,-1.9280244871404,"F46538","F46538.1","F46538.2022-03-15 01:32:04"
"66",411443.348738971,4263057.17761673,2022-03-15 03:32:32,-8.65970449749148,-2.45691688079387,9.00149557257037,7263,137400.528150012,-2.86513928533388,1.99768500290652,"F46538","F46538.1","F46538.2022-03-15 03:32:32"
"67",411434.689034474,4263054.72069985,2022-03-15 05:33:35,51.1372292186716,-4.33773090038449,51.3208741305826,4974,143321.721678667,-0.0846227268830487,2.78051655845083,"F46538","F46538.1","F46538.2022-03-15 05:33:35"
"68",411485.826263692,4263050.38296895,2022-03-15 06:56:29,92.0827048064675,-102.672498870641,137.916157678558,7268,107437.953679811,-0.839719566066696,-0.755096839183647,"F46538","F46538.1","F46538.2022-03-15 06:56:29"
"69",411577.908968499,4262947.71047008,2022-03-15 08:57:37,32.8507152757375,-33.7667645253241,47.1101250331206,7195,51939.3110350365,-0.799148180979315,0.0405713850873805,"F46538","F46538.1","F46538.2022-03-15 08:57:37"
"70",411610.759683774,4262913.94370555,2022-03-15 10:57:32,39.9878900421318,-50.8250365937129,64.6700525341821,7237,40999.3400528316,-0.904171325472557,-0.105023144493241,"F46538","F46538.1","F46538.2022-03-15 10:57:32"
"71",411650.747573817,4262863.11866896,2022-03-15 12:58:09,-31.6973031593952,19.7705057691783,37.3576220595974,7160,35718.1804334917,2.58390832471319,-2.79510565699384,"F46538","F46538.1","F46538.2022-03-15 12:58:09"
"72",411619.050270657,4262882.88917473,2022-03-15 14:57:29,-40.3244163504569,-161.69618549291,166.648477211653,7232,42501.321664991,-1.81519499467418,1.88408198779221,"F46538","F46538.1","F46538.2022-03-15 14:57:29"
"73",411578.725854307,4262721.19298923,2022-03-15 16:58:01,-197.649095562985,58.55831951648,206.141315027969,16486,114420.567771396,2.85355755756741,-1.614432754938,"F46538","F46538.1","F46538.2022-03-15 16:58:01"
"74",411381.076758744,4262779.75130875,2022-03-15 21:32:47,186.150973395095,227.339794049039,293.829145685381,14397,216604.254205463,0.884683069768781,-1.96887448779863,"F46538","F46538.1","F46538.2022-03-15 21:32:47"
"75",411567.227732139,4263007.0911028,2022-03-16 01:32:44,-67.7912644022726,67.6681073820218,95.784279952003,7298,57392.2251664706,2.35710367044835,1.47242060067957,"F46538","F46538.1","F46538.2022-03-16 01:32:44"
"76",411499.436467736,4263074.75921018,2022-03-16 03:34:22,2.69789781712461,-0.473682068288326,2.73916544470458,7123,103309.791350332,-0.17380304364246,-2.53090671409081,"F46538","F46538.1","F46538.2022-03-16 03:34:22"
"77",411502.134365554,4263074.28552811,2022-03-16 05:33:05,9.47561947256327,21.0924994889647,23.1231680156676,5005,101575.637505201,1.14857361070721,1.32237665434967,"F46538","F46538.1","F46538.2022-03-16 05:33:05"
"78",411511.609985026,4263095.3780276,2022-03-16 06:56:30,-22.4004578505992,-346.895847078413,347.618338457806,7194,100647.300972876,-1.63528081265749,-2.7838544233647,"F46538","F46538.1","F46538.2022-03-16 06:56:30"
"79",411489.209527176,4262748.48218052,2022-03-16 08:56:24,113.266275804024,133.812762806192,175.31430268047,7142,149825.141731194,0.86836481968366,2.50364563234115,"F46538","F46538.1","F46538.2022-03-16 08:56:24"
"80",411602.47580298,4262882.29494333,2022-03-16 10:55:26,202.470697799872,-95.7839011624455,223.984238707692,7238,49027.2766980275,-0.441876843760215,-1.31024166344387,"F46538","F46538.1","F46538.2022-03-16 10:55:26"
"81",411804.946500779,4262786.51104217,2022-03-16 12:56:04,-9.68832561234012,22.9682063888758,24.9279393029733,7179,34847.1333417739,1.96996585135281,2.41184269511302,"F46538","F46538.1","F46538.2022-03-16 12:56:04"
