serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113347288,2022-03-15,16:56:01,2022-03-15 16:56:01,38.515373,-106.013802,1.14,3,0,0.38,2246.0,4.15,5.92,16.0,7,1.53,,783,,37.0,39
89460800120113347288,2022-03-15,12:55:35,2022-03-15 12:55:35,38.521904,-106.013039,1.64,3,0,0.16,2208.0,4.12,0.96,0.0,9,1.87,,103,,4.0,27
89460800120113347288,2022-03-15,09:31:01,2022-03-15 09:31:01,38.521442,-106.012955,1.18,3,0,0.13,2157.0,4.13,0.01,0.0,10,1.34,,204,,3.0,21
89460800120113347288,2022-03-15,05:30:53,2022-03-15 05:30:53,38.52166,-106.012848,0.87,3,0,0.47,2199.0,4.14,0.01,0.0,10,1.08,,188,,9.0,30
89460800120113347288,2022-03-15,01:30:37,2022-03-15 01:30:37,38.520267,-106.013161,1.78,3,0,0.36,2174.0,4.14,1.19,0.0,8,3.18,,346,,7.0,19
89460800120113347288,2022-03-15,00:58:04,2022-03-15 00:58:04,38.520786,-106.01326,0.86,3,0,0.46,2186.0,4.15,3.91,0.0,10,1.28,,690,,9.0,22
89460800120113347288,2022-03-14,20:58:26,2022-03-14 20:58:26,38.514503,-106.01265,0.88,3,0,0.64,2239.0,4.14,5.22,0.0,8,1.52,,259,,14.0,44
89460800120113347288,2022-03-14,16:57:56,2022-03-14 16:57:56,38.514324,-106.012627,1.04,3,0,0.18,2251.0,4.15,5.53,0.0,10,1.18,,1131,,13.0,23
89460800120113347288,2022-03-14,12:57:19,2022-03-14 12:57:19,38.522545,-106.011909,1.0,3,324,0.34,2228.0,4.12,0.6,0.0,8,1.33,,395,,0.0,9
89460800120113347288,2022-03-14,09:30:35,2022-03-14 09:30:35,38.523293,-106.012032,1.27,3,353,0.08,2174.0,4.12,0.01,0.0,9,1.37,,380,,6.0,25
89460800120113347288,2022-03-14,05:29:56,2022-03-14 05:29:56,38.522896,-106.011429,0.98,3,0,0.08,2188.0,4.14,0.01,0.0,9,1.17,,493,,6.0,15
89460800120113347288,2022-03-14,01:29:26,2022-03-14 01:29:26,38.520596,-106.012627,1.43,3,0,0.06,2188.0,4.15,0.48,0.0,7,1.93,,149,,10.0,14
89460800120113347288,2022-03-14,01:01:00,2022-03-14 01:01:00,38.520481,-106.012871,2.15,3,0,0.24,2222.0,4.15,4.37,0.0,5,1.5,,984,,12.0,52
89460800120113347288,2022-03-13,21:00:22,2022-03-13 21:00:22,38.514034,-106.01313,0.86,3,0,0.28,2245.0,4.14,5.43,0.0,11,1.29,,406,,19.0,36
89460800120113347288,2022-03-13,17:01:16,2022-03-13 17:01:16,0.0,0.0,1.07,1,0,0.0,0.0,4.13,5.26,2.0,7,1.7,,762,,30.0,120
89460800120113347288,2022-03-13,13:00:01,2022-03-13 13:00:01,38.514652,-106.014427,0.93,3,0,0.43,2207.0,4.11,0.8,0.0,8,1.45,,67,,2.0,50
89460800120113347288,2022-03-13,09:30:35,2022-03-13 09:30:35,38.51347,-106.014374,1.05,3,0,0.12,1924.0,4.12,0.0,0.0,6,2.13,,288,,5.0,117
89460800120113347288,2022-03-13,05:29:23,2022-03-13 05:29:23,38.516842,-106.014893,1.24,3,0,0.15,2201.0,4.13,0.0,0.0,9,1.69,,3715,,3.0,63
89460800120113347288,2022-03-13,01:28:35,2022-03-13 01:28:35,38.520149,-106.013809,1.76,3,0,0.38,2029.0,4.15,0.42,0.0,7,2.6,,79,,9.0,19
89460800120113347288,2022-03-13,01:01:35,2022-03-13 01:01:35,38.51939,-106.012787,1.06,3,0,0.08,2203.0,4.15,4.51,0.0,7,1.46,,518,,10.0,59
89460800120113347288,2022-03-12,21:02:20,2022-03-12 21:02:20,0.0,0.0,1.07,1,0,0.0,0.0,4.15,5.48,0.0,7,1.47,,601,,29.0,120
89460800120113347288,2022-03-12,17:02:13,2022-03-12 17:02:13,0.0,0.0,1.6,1,0,0.0,0.0,4.14,6.2,29.0,7,1.67,,1415,,21.0,120
