serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113349953,2022-05-10,06:26:04,2022-05-10 06:26:04,38.508827,-106.04071,2.64,3,0,0.04,2302.0,3.76,0.0,0.0,4,6.18,,257,,13.0,104
89460800120113349953,2022-05-09,23:39:44,2022-05-09 23:39:44,38.508934,-106.040855,4.21,3,0,0.11,2278.0,3.77,3.54,0.0,4,7.25,,7,,23.0,120
89460800120113349953,2022-05-09,15:39:17,2022-05-09 15:39:17,0.0,0.0,4.55,1,0,0.0,0.0,3.77,5.37,3.0,3,1.0,,41,,25.0,120
89460800120113349953,2022-05-09,11:39:04,2022-05-09 11:39:04,0.0,0.0,8.86,1,0,0.0,0.0,3.77,0.3,0.0,3,1.0,,116,,12.0,120
89460800120113349953,2022-05-09,02:25:18,2022-05-09 02:25:18,0.0,0.0,3.75,1,0,0.0,0.0,3.77,0.05,0.0,3,1.0,,0,,18.0,120
89460800120113349953,2022-05-08,02:24:14,2022-05-08 02:24:14,0.0,0.0,1.96,1,0,0.0,0.0,3.79,0.12,0.0,3,1.0,,11978,,23.0,120
89460800120113349953,2022-05-07,23:42:53,2022-05-07 23:42:53,38.518658,-106.039879,1.59,3,0,0.06,2228.0,3.8,4.89,0.0,4,2.87,,5756,,26.0,114
89460800120113349953,2022-05-07,11:42:08,2022-05-07 11:42:08,38.513672,-106.039604,2.87,3,0,1.33,2265.0,3.78,1.85,0.0,4,3.88,,30,,9.0,108
89460800120113349953,2022-05-07,10:22:23,2022-05-07 10:22:23,38.513191,-106.038376,1.83,3,0,0.01,2261.0,3.78,0.0,0.0,4,2.86,,1107,,8.0,63
89460800120113349953,2022-05-07,06:22:35,2022-05-07 06:22:35,38.517509,-106.0354,3.56,3,0,0.29,2224.0,3.79,0.01,0.0,4,4.22,,1454,,15.0,84
89460800120113349953,2022-05-07,02:22:57,2022-05-07 02:22:57,38.516445,-106.040253,1.75,3,0,0.13,2223.0,3.8,0.96,0.0,5,2.37,,12230,,18.0,114
89460800120113349953,2022-05-06,15:43:47,2022-05-06 15:43:47,38.508266,-106.039833,6.54,3,0,0.1,2316.0,3.79,5.07,0.0,4,7.96,,2713,,23.0,120
89460800120113349953,2022-05-06,11:42:34,2022-05-06 11:42:34,38.50444,-106.042099,1.45,3,0,0.4,2336.0,3.78,1.1,1.0,4,3.01,,54,,12.0,64
89460800120113349953,2022-05-06,10:22:34,2022-05-06 10:22:34,38.504368,-106.041962,3.82,3,0,0.06,2319.0,3.79,0.0,0.0,5,2.82,,591,,14.0,42
89460800120113349953,2022-05-06,02:23:27,2022-05-06 02:23:27,0.0,0.0,6.25,1,0,0.0,0.0,3.79,0.09,0.0,4,8.67,,5027,,17.0,120
89460800120113349953,2022-05-05,19:44:55,2022-05-05 19:44:55,0.0,0.0,7.3,1,0,0.0,0.0,3.79,4.54,0.0,4,5.62,,509,,26.0,120
89460800120113349953,2022-05-05,15:44:05,2022-05-05 15:44:05,38.518166,-106.03756,1.58,3,0,0.15,2225.0,3.79,5.46,1.0,6,1.99,,923,,18.0,86
89460800120113349953,2022-05-05,11:42:54,2022-05-05 11:42:54,38.517414,-106.03054,2.25,3,0,0.43,2228.0,3.78,1.17,0.0,4,1.94,,130,,0.0,35
89460800120113349953,2022-05-05,10:23:22,2022-05-05 10:23:22,38.514587,-106.029877,1.9,3,0,0.32,2215.0,3.78,0.0,0.0,4,4.34,,452,,7.0,120
89460800120113349953,2022-05-05,06:23:08,2022-05-05 06:23:08,0.0,0.0,2.54,1,0,0.0,0.0,3.78,0.0,0.0,3,1.0,,995,,8.0,120
89460800120113349953,2022-05-05,02:22:55,2022-05-05 02:22:55,38.516922,-106.036484,5.83,3,0,0.6,2224.0,3.79,0.22,0.0,4,2.97,,458,,10.0,120
89460800120113349953,2022-05-04,23:45:36,2022-05-04 23:45:36,38.515896,-106.040405,2.25,3,0,0.17,2238.0,3.8,5.23,0.0,5,2.64,,3216,,18.0,85
89460800120113349953,2022-05-04,15:45:43,2022-05-04 15:45:43,38.510242,-106.039536,4.3,3,0,0.09,2296.0,3.78,5.24,0.0,4,2.91,,778,,15.0,120
89460800120113349953,2022-05-04,11:45:31,2022-05-04 11:45:31,0.0,0.0,7.65,1,0,0.0,0.0,3.78,0.4,0.0,3,1.0,,28,,7.0,120
89460800120113349953,2022-05-04,10:20:35,2022-05-04 10:20:35,38.511448,-106.04023,3.07,3,0,0.02,2271.0,3.79,0.0,0.0,4,4.25,,408,,9.0,40
89460800120113349953,2022-05-04,06:21:41,2022-05-04 06:21:41,0.0,0.0,2.2,1,0,0.0,0.0,3.79,0.0,0.0,3,1.0,,801,,11.0,120
89460800120113349953,2022-05-03,11:46:16,2022-05-03 11:46:16,38.515316,-106.037445,5.08,3,0,1.33,2238.0,3.78,0.7,0.0,4,6.12,,256,,4.0,120
