serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113349490,2021-05-29,11:22:59,2021-05-29 11:22:59,38.506451,-106.017151,1.19,3,0,0.14,2338.0,3.91,0.89,0.0,12,2.12,,483,,14.0,33
89460800120113349490,2021-05-29,10:44:39,2021-05-29 10:44:39,0.0,0.0,1.05,1,0,0.0,0.0,3.92,0.01,0.0,9,1.92,,469,,16.0,120
89460800120113349490,2021-05-29,08:42:28,2021-05-29 08:42:28,38.518467,-106.014008,1.38,3,0,0.09,2217.0,3.93,0.02,0.0,7,1.4,,260,,11.0,7
89460800120113349490,2021-05-29,06:42:39,2021-05-29 06:42:39,38.517998,-106.013885,0.85,3,5,0.9,2199.0,3.94,0.01,0.0,11,1.52,,120,,16.0,29
89460800120113349490,2021-05-29,04:41:58,2021-05-29 04:41:58,38.517437,-106.01564,0.84,3,0,0.14,2463.0,3.95,0.01,0.0,11,1.32,,1514,,19.0,13
89460800120113349490,2021-05-29,02:41:33,2021-05-29 02:41:33,38.513096,-106.021156,1.14,3,0,0.04,2380.0,3.96,0.42,0.0,7,1.67,,6812,,23.0,11
89460800120113349490,2021-05-29,01:24:23,2021-05-29 01:24:23,38.505665,-106.021683,1.04,3,0,0.1,2387.0,3.97,4.45,0.0,10,1.57,,5678,,26.0,16
89460800120113349490,2021-05-28,23:23:53,2021-05-28 23:23:53,38.506317,-106.018341,0.87,3,0,0.39,2348.0,3.96,4.71,0.0,10,1.26,,3104,,29.0,16
89460800120113349490,2021-05-28,21:24:58,2021-05-28 21:24:58,38.50639,-106.018257,1.12,3,0,0.03,2269.0,3.96,4.83,0.0,11,2.09,,679,,31.0,82
89460800120113349490,2021-05-28,19:23:54,2021-05-28 19:23:54,38.506382,-106.018509,1.2,3,0,0.43,2390.0,3.96,5.01,0.0,10,1.33,,516,,29.0,22
89460800120113349490,2021-05-28,17:23:51,2021-05-28 17:23:51,38.506298,-106.018715,0.9,3,0,0.27,2382.0,3.96,4.97,0.0,11,1.2,,623,,27.0,40
89460800120113349490,2021-05-28,15:23:08,2021-05-28 15:23:08,38.506634,-106.01844,1.07,3,0,0.09,2350.0,3.96,5.16,0.0,10,1.92,,1125,,21.0,13
89460800120113349490,2021-05-28,13:22:43,2021-05-28 13:22:43,38.511086,-106.019348,0.96,3,24,0.59,2212.0,3.95,5.0,0.0,11,1.48,,1201,,16.0,13
89460800120113349490,2021-05-28,11:22:19,2021-05-28 11:22:19,38.518497,-106.017014,1.04,3,0,0.27,2206.0,3.94,0.69,0.0,8,1.51,,336,,14.0,8
89460800120113349490,2021-05-28,10:41:23,2021-05-28 10:41:23,38.520702,-106.017166,1.11,3,0,1.02,2188.0,3.95,0.01,0.0,8,1.92,,112,,16.0,7
89460800120113349490,2021-05-28,08:42:05,2021-05-28 08:42:05,38.521278,-106.018616,1.07,3,0,0.14,2225.0,3.95,0.01,0.0,8,1.64,,792,,14.0,62
89460800120113349490,2021-05-28,06:40:52,2021-05-28 06:40:52,38.519836,-106.015831,0.91,3,0,0.06,2202.0,3.96,0.01,0.0,8,1.35,,381,,16.0,5
89460800120113349490,2021-05-28,04:41:05,2021-05-28 04:41:05,38.518822,-106.014938,0.81,3,0,0.51,2277.0,3.97,0.02,0.0,11,1.25,,337,,20.0,28
89460800120113349490,2021-05-28,02:40:27,2021-05-28 02:40:27,38.51878,-106.016129,1.0,3,0,0.38,2097.0,3.97,0.47,0.0,9,1.27,,6549,,24.0,5
89460800120113349490,2021-05-28,01:25:24,2021-05-28 01:25:24,38.509209,-106.019203,1.04,3,0,1.02,2177.0,3.98,4.27,0.0,10,1.56,,5308,,26.0,15
89460800120113349490,2021-05-27,23:25:28,2021-05-27 23:25:28,38.504143,-106.021347,0.82,3,0,0.06,2383.0,3.98,4.93,0.0,12,1.12,,1621,,28.0,19
89460800120113349490,2021-05-27,21:25:27,2021-05-27 21:25:27,38.504303,-106.019424,1.19,3,0,0.71,2412.0,3.97,5.25,4.0,10,1.65,,2804,,33.0,34
89460800120113349490,2021-05-27,19:24:42,2021-05-27 19:24:42,38.503212,-106.018936,1.04,3,0,0.05,2391.0,3.95,5.0,0.0,8,1.41,,3235,,30.0,12
89460800120113349490,2021-05-27,17:25:50,2021-05-27 17:25:50,38.503082,-106.018997,0.88,3,0,0.03,2399.0,3.95,4.77,0.0,12,1.22,,1544,,30.0,90
89460800120113349490,2021-05-27,15:24:52,2021-05-27 15:24:52,38.503235,-106.019096,0.89,3,0,0.06,2332.0,3.96,4.7,0.0,11,1.31,,2036,,27.0,54
89460800120113349490,2021-05-27,13:23:46,2021-05-27 13:23:46,38.505302,-106.016487,0.9,3,0,0.19,2342.0,3.93,5.88,15.0,10,1.17,,1194,,25.0,8
89460800120113349490,2021-05-27,11:23:27,2021-05-27 11:23:27,38.515717,-106.010918,0.95,3,0,0.17,2198.0,3.91,0.62,0.0,10,1.29,,236,,15.0,4
