serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
89460800120113349508,2022-04-09,18:25:22,2022-04-09 18:25:22,0.0,0.0,0.0,0,0,0.0,0.0,3.76,5.05,0.0,0,0.0,,38,,21.0,0
89460800120113349508,2022-04-07,14:22:25,2022-04-07 14:22:25,0.0,0.0,6.75,1,0,0.0,0.0,3.75,5.45,0.0,3,1.0,,115,,1.0,120
89460800120113349508,2022-04-07,09:55:01,2022-04-07 09:55:01,0.0,0.0,5.98,1,0,0.0,0.0,3.75,0.0,0.0,3,1.0,,344,,0.0,120
89460800120113349508,2022-04-07,05:54:17,2022-04-07 05:54:17,38.507416,-106.022697,3.12,3,80,0.48,2350.0,3.76,0.0,0.0,4,2.41,,270,,1.0,109
89460800120113349508,2022-04-06,09:53:04,2022-04-06 09:53:04,38.508041,-106.022507,2.09,3,0,1.26,2418.0,3.75,0.0,0.0,6,3.05,,4120,,1.0,56
89460800120113349508,2022-04-06,07:53:29,2022-04-06 07:53:29,38.518921,-106.02272,1.18,3,0,0.19,2200.0,3.76,0.0,0.0,7,1.45,,338,,1.0,97
89460800120113349508,2022-04-06,05:53:43,2022-04-06 05:53:43,38.519444,-106.023079,1.97,2,0,0.92,2213.0,3.76,0.01,0.0,3,1.0,,295,,8.0,120
89460800120113349508,2022-04-06,00:26:01,2022-04-06 00:26:01,0.0,0.0,2.25,1,0,0.0,0.0,3.77,4.61,0.0,3,1.0,,194,,14.0,120
89460800120113349508,2022-04-05,22:25:53,2022-04-05 22:25:53,38.509846,-106.019699,4.38,3,0,0.27,2283.0,3.77,5.14,0.0,4,3.87,,202,,17.0,120
89460800120113349508,2022-04-05,18:25:39,2022-04-05 18:25:39,0.0,0.0,4.2,1,0,0.0,0.0,3.78,5.17,0.0,3,1.0,,558,,19.0,120
89460800120113349508,2022-04-05,09:53:30,2022-04-05 09:53:30,38.518417,-106.019951,2.4,3,0,0.35,2218.0,3.77,0.01,0.0,5,5.55,,516,,14.0,120
89460800120113349508,2022-04-05,07:53:23,2022-04-05 07:53:23,38.520412,-106.020638,2.21,3,0,1.13,2191.0,3.78,0.01,0.0,5,2.04,,255,,15.0,115
89460800120113349508,2022-04-04,22:26:02,2022-04-04 22:26:02,38.50922,-106.02095,2.98,3,0,0.57,2280.0,3.78,5.09,0.0,5,4.05,,375,,21.0,72
89460800120113349508,2022-04-04,20:26:11,2022-04-04 20:26:11,38.508636,-106.02095,3.0,3,0,0.26,2342.0,3.78,5.41,3.0,4,3.79,,59,,22.0,84
89460800120113349508,2022-04-04,12:24:44,2022-04-04 12:24:44,38.503967,-106.019814,2.5,3,0,1.45,2350.0,3.77,0.09,0.0,5,2.38,,0,,6.0,33
89460800120113349508,2022-04-04,11:52:31,2022-04-04 11:52:31,38.503555,-106.019493,2.33,3,0,0.05,2363.0,3.76,0.0,0.0,5,2.5,,53,,6.0,86
89460800120113349508,2022-04-04,05:52:09,2022-04-04 05:52:09,38.503452,-106.019485,4.0,3,0,0.07,2353.0,3.77,0.0,0.0,4,3.24,,123,,3.0,91
89460800120113349508,2022-04-04,01:52:21,2022-04-04 01:52:21,0.0,0.0,3.31,1,0,0.0,0.0,3.77,0.03,0.0,4,10.27,,297,,2.0,120
89460800120113349508,2022-04-03,12:28:10,2022-04-03 12:28:10,0.0,0.0,3.64,1,0,0.0,0.0,3.78,0.38,0.0,3,1.0,,314,,9.0,120
89460800120113349508,2022-04-03,11:51:58,2022-04-03 11:51:58,0.0,0.0,2.0,1,0,0.0,0.0,3.78,0.01,0.0,3,1.0,,425,,7.0,120
89460800120113349508,2022-04-03,01:51:23,2022-04-03 01:51:23,0.0,0.0,2.31,1,0,0.0,0.0,3.8,0.11,0.0,4,1.0,,330,,14.0,120
89460800120113349508,2022-04-02,20:29:42,2022-04-02 20:29:42,0.0,0.0,4.09,1,0,0.0,0.0,3.8,5.04,0.0,3,1.0,,288,,23.0,120
89460800120113349508,2022-04-02,18:29:05,2022-04-02 18:29:05,38.508785,-106.019272,2.46,3,0,0.57,2294.0,3.8,5.36,2.0,5,3.83,,2,,21.0,93
89460800120113349508,2022-04-02,05:50:37,2022-04-02 05:50:37,38.518627,-106.021446,2.04,3,0,0.23,2236.0,3.78,0.0,0.0,4,4.25,,480,,4.0,117
89460800120113349508,2022-04-01,18:31:38,2022-04-01 18:31:38,38.509701,-106.01973,2.17,3,0,0.79,2271.0,3.79,5.02,0.0,4,4.2,,175,,14.0,114
89460800120113349508,2022-04-01,16:31:36,2022-04-01 16:31:36,38.509758,-106.019646,1.99,3,0,0.3,2294.0,3.79,5.41,0.0,4,3.01,,2,,15.0,113
89460800120113349508,2022-04-01,12:30:03,2022-04-01 12:30:03,38.515926,-106.019928,3.61,3,0,0.28,2189.0,3.79,0.42,0.0,4,4.34,,180,,8.0,45
89460800120113349508,2022-04-01,11:49:31,2022-04-01 11:49:31,38.517288,-106.019035,2.27,3,0,0.47,2217.0,3.79,0.01,0.0,4,5.3,,130,,8.0,85
89460800120113349508,2022-04-01,01:49:30,2022-04-01 01:49:30,38.516159,-106.022003,2.48,3,24,3.42,2207.0,3.81,0.09,0.0,5,3.53,,443,,10.0,119
89460800120113349508,2022-04-01,00:34:05,2022-04-01 00:34:05,0.0,0.0,5.86,1,0,0.0,0.0,3.81,4.45,0.0,4,16.62,,233,,14.0,120
89460800120113349508,2022-03-31,16:33:39,2022-03-31 16:33:39,0.0,0.0,3.4,1,0,0.0,0.0,3.81,5.31,0.0,3,1.0,,128,,11.0,120
89460800120113349508,2022-03-31,12:31:55,2022-03-31 12:31:55,38.516071,-106.020676,1.94,3,0,1.26,2243.0,3.78,1.17,0.0,5,3.06,,143,,-4.0,28
89460800120113349508,2022-03-31,11:48:35,2022-03-31 11:48:35,38.517265,-106.020378,1.33,3,0,0.03,2219.0,3.79,0.0,0.0,6,1.96,,0,,-4.0,93
89460800120113349508,2022-03-30,14:33:49,2022-03-30 14:33:49,38.508602,-106.020744,2.38,3,0,1.09,2343.0,3.81,5.37,0.0,4,3.69,,259,,3.0,97
